Status,Tanggal_YMD,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
Terkonfirmasi,2020-04-21,,10,,1,4,3,163,5,9,98,13,6,5,7,2,3,2,21,,2,,1,,4,,1,1,,,,11,,,3
Sembuh,2020-04-21,,,,1,1,2,56,,19,,2,1,,,,,2,,,,,,,10,1,,,,,,,,,
Meninggal,2020-04-21,,,,,,,11,,6,,,,,1,,,1,,,,1,,,5,,,,,,,,,,1
Terkonfirmasi,2020-04-22,,2,,,,3,119,,6,30,35,4,1,15,9,,,15,,5,,9,,13,2,,8,,1,5,1,,,
Sembuh,2020-04-22,,5,12,,,,36,,4,3,1,,,,,,,,,,,8,,2,,,,,,,,,,
Meninggal,2020-04-22,,1,,,,,3,,3,9,2,,,,,,,,,1,,1,,,,,,,,,,,,
Terkonfirmasi,2020-04-23,,15,,1,,1,133,1,22,59,26,19,5,1,7,,2,7,4,5,11,2,,10,,11,1,2,,5,7,,,
Sembuh,2020-04-23,,8,,,,2,4,,8,,11,,,,,,,2,,3,,,,5,,,,,,,4,,,
Meninggal,2020-04-23,,,,,,,,,3,,2,,,,,,,,,1,,1,,4,,,,,,,,,,
Terkonfirmasi,2020-04-24,1,10,22,,,1,85,4,75,37,26,,11,11,18,,,38,13,10,5,1,4,23,3,,,,,2,6,25,,5
Sembuh,2020-04-24,,,4,,,4,1,,3,4,16,,,,1,,1,2,,1,,,1,1,,,3,,,,,,,
Meninggal,2020-04-24,,,4,,,,25,,3,1,7,,,,,,,,,1,,,,1,,,,,,,,,,
Terkonfirmasi,2020-04-25,1,6,11,,,2,85,3,45,46,80,1,12,6,14,6,,27,13,1,,9,,12,4,,2,,5,1,,2,,2
Sembuh,2020-04-25,,15,,,,,7,,3,,5,,,,,,,5,,3,,,,1,,,1,,,,,,,
Meninggal,2020-04-25,,,,,,,20,,,,8,,,,,,,,,1,,1,,1,,,,,,,,,,
Terkonfirmasi,2020-04-26,,3,,1,,3,114,11,5,28,15,,8,4,,6,2,15,10,5,4,6,4,8,,4,1,12,,,5,,,1
Sembuh,2020-04-26,,5,,,,,1,,,14,5,,,,,,,,13,,6,,1,17,,,1,,1,,,,1,
Meninggal,2020-04-26,,,,,,,7,,,4,12,,,,,,,,,,,,,,,,,,,,,,,
Terkonfirmasi,2020-04-27,,8,12,,,1,70,,39,17,11,,2,8,4,1,1,11,,19,,,,,,,,,,,10,,,
Sembuh,2020-04-27,,6,,,,1,2,,3,16,2,,1,1,,,,2,,3,,,,7,,,,,,,,,,
Meninggal,2020-04-27,,,1,,,,14,,1,,1,,,1,,,,,,3,,,,1,,,,,,,,,,
Terkonfirmasi,2020-04-28,,21,6,,,10,133,,19,16,61,,8,9,,2,3,15,14,23,3,,,13,6,2,1,,,21,26,2,,1
Sembuh,2020-04-28,,7,,,,2,26,,7,1,4,,,1,6,,2,2,4,1,,14,,2,5,,1,1,1,,15,1,,
Meninggal,2020-04-28,,,1,,,,3,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,
