Status,Tanggal_YMD,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
Meninggal,2021-01-27,,5,2,,,15,34,1,106,108,68,,7,,3,2,1,,5,3,3,3,1,4,2,3,2,,,1,1,3,3,1
Terkonfirmasi,2021-01-28,18,366,44,95,13,359,2889,65,4532,1507,1022,13,459,62,103,45,37,100,82,110,146,95,61,679,233,118,116,12,13,22,,108,116,55
Sembuh,2021-01-28,,288,449,71,31,383,2731,39,2290,1347,851,20,397,16,49,171,21,22,54,245,32,81,43,559,144,116,117,3,25,14,115,27,38,3
Meninggal,2021-01-28,,8,3,,,9,40,,200,81,57,,6,,2,4,2,4,3,2,28,3,1,5,3,3,1,,,,2,3,5,1
Terkonfirmasi,2021-01-29,21,415,326,117,16,414,3448,46,3835,1495,1006,31,667,133,120,23,27,83,86,71,116,91,37,334,116,146,96,22,32,32,212,79,93,16
Sembuh,2021-01-29,8,307,926,78,30,210,2428,55,2238,378,1013,16,453,70,100,99,22,37,76,215,70,90,6,540,176,78,149,76,18,26,16,32,87,15
Meninggal,2021-01-29,,7,,2,,3,44,1,5,23,52,,8,2,3,1,,3,2,4,4,2,1,4,1,4,2,,1,1,2,,4,1
Terkonfirmasi,2021-01-30,22,253,300,123,30,317,3491,44,4601,1237,830,41,701,76,130,201,26,58,64,84,130,92,46,663,271,145,89,16,19,36,64,116,163,39
Sembuh,2021-01-30,7,298,60,103,15,262,3566,42,2643,279,931,31,375,171,41,8,58,47,96,228,167,80,73,204,133,78,130,,22,19,12,26,22,14
Meninggal,2021-01-30,,5,,1,,7,30,,27,18,63,1,11,,2,5,,1,2,1,3,2,,5,6,7,2,,,,1,3,7,
Terkonfirmasi,2021-01-31,4,238,271,55,22,254,3474,37,2848,1115,856,18,658,66,124,15,100,96,80,87,95,91,58,666,130,134,130,10,46,21,22,99,56,25
Sembuh,2021-01-31,3,270,687,67,25,394,3355,36,2460,152,882,35,545,70,88,66,33,43,76,245,102,89,66,236,122,131,138,,4,31,16,112,138,2
Meninggal,2021-01-31,,9,10,1,1,14,42,3,62,25,51,,9,3,3,3,2,4,3,2,6,1,,1,1,5,1,,,2,,3,3,
Terkonfirmasi,2021-02-01,2,253,34,69,4,222,3614,,2966,974,693,,366,62,74,108,50,48,66,44,74,97,16,649,64,147,21,31,46,4,11,48,134,3
Sembuh,2021-02-01,5,266,61,39,25,259,2142,,2547,1988,965,,397,80,58,25,10,61,78,148,53,92,22,476,132,206,120,2,2,32,16,31,114,9
Meninggal,2021-02-01,,6,11,1,,7,45,,5,80,59,,14,2,3,1,3,1,1,2,2,2,1,4,10,10,3,1,,,,2,1,2
Terkonfirmasi,2021-02-02,22,309,37,38,13,226,3362,53,2068,1116,847,37,443,99,87,114,26,,62,37,103,136,31,95,275,165,78,45,8,25,76,114,173,59
Sembuh,2021-02-02,11,372,192,53,15,271,4577,53,2310,1385,888,34,521,70,64,192,172,118,91,191,42,101,45,402,110,130,110,63,40,29,17,28,142,9
Meninggal,2021-02-02,1,6,22,,,6,44,,48,58,55,,8,2,2,1,2,,3,10,9,3,3,,5,8,1,2,,,,1,2,2
Terkonfirmasi,2021-02-03,14,261,129,97,12,312,3567,60,2241,1783,736,27,903,19,104,278,19,6,60,129,72,135,26,161,155,124,104,12,1,36,69,190,112,30
Sembuh,2021-02-03,20,239,294,70,25,305,1602,25,1890,1011,899,29,501,97,95,66,,10,120,269,254,104,30,305,162,167,135,,165,37,51,93,59,6
Meninggal,2021-02-03,,6,,1,,4,44,2,10,7,58,,13,1,3,5,,4,3,3,2,5,,5,2,7,1,1,1,,,,1,
Terkonfirmasi,2021-02-04,10,216,26,121,13,321,3632,48,2020,1775,679,33,732,50,111,71,36,0,29,97,63,126,47,300,207,98,92,30,20,5,145,100,158,23
Sembuh,2021-02-04,4,365,334,119,20,229,3963,41,2366,786,814,31,707,74,108,45,53,36,65,179,69,112,47,435,204,162,57,21,13,39,23,20,88,12
Meninggal,2021-02-04,,9,,,1,6,40,1,10,80,39,,4,2,3,1,,,,2,6,3,,3,5,6,5,1,,,,,3,1
Terkonfirmasi,2021-02-05,9,508,67,115,6,280,3340,56,2117,1884,799,25,798,80,128,50,25,1,68,58,17,115,31,226,173,114,68,33,31,13,63,48,389,14
Sembuh,2021-02-05,,467,26,81,15,165,2475,65,2674,516,869,40,553,90,45,137,160,1,95,201,48,109,56,264,53,123,107,7,24,22,19,,164,3
Meninggal,2021-02-05,,8,2,1,,2,45,,28,13,52,,11,3,3,1,,2,3,1,2,4,,3,1,11,3,1,,,,,1,
Terkonfirmasi,2021-02-06,13,197,47,135,6,217,2379,37,3971,1601,745,42,607,67,140,188,19,22,58,95,106,99,34,495,184,115,70,,29,14,67,148,198,11
Sembuh,2021-02-06,8,384,159,109,15,266,4434,70,3117,116,786,31,479,132,156,23,33,45,45,241,159,107,83,544,24,165,130,,8,20,14,140,147,14
Meninggal,2021-02-06,,12,8,1,,4,44,1,4,9,46,,23,1,4,,1,2,8,1,1,2,,3,2,3,3,,,,,1,5,2
Terkonfirmasi,2021-02-07,14,381,90,95,8,145,4213,25,1988,1064,557,23,501,61,117,63,31,,71,129,92,169,48,272,37,114,93,10,23,13,57,88,213,22
Sembuh,2021-02-07,2,379,544,105,15,213,4305,32,2100,86,775,39,421,20,50,32,51,12,139,174,96,140,3,532,118,134,77,22,26,11,10,59,64,20
Meninggal,2021-02-07,,9,1,1,,3,44,,2,15,38,1,11,1,3,2,,,2,1,8,,,10,1,2,3,,1,,,2,2,
Terkonfirmasi,2021-02-08,11,260,41,95,6,206,3144,2,1500,826,585,,344,43,80,134,10,141,71,42,31,146,7,136,32,61,62,21,11,30,50,31,83,
Sembuh,2021-02-08,31,458,952,77,15,255,3418,10,3135,1054,819,,435,217,37,244,67,110,19,143,204,121,214,436,173,96,74,39,5,33,18,22,90,17
Meninggal,2021-02-08,1,10,8,3,3,13,43,,12,6,52,,,2,3,2,2,2,2,,16,3,,6,1,9,1,1,1,,,1,4,
Terkonfirmasi,2021-02-09,47,453,65,28,12,228,3437,22,775,948,440,35,550,32,115,104,51,87,62,51,96,174,17,166,76,98,73,39,5,28,63,179,113,31
Sembuh,2021-02-09,1,272,988,55,15,326,2786,33,2216,665,700,28,506,74,181,37,32,101,138,177,149,138,15,205,57,174,70,69,,32,19,49,99,17
Meninggal,2021-02-09,,7,2,1,,4,50,,17,48,43,1,9,,3,5,2,2,1,,2,2,4,1,,4,3,1,,,,,1,
Terkonfirmasi,2021-02-10,3,305,30,89,7,291,3309,45,660,1220,603,19,498,30,145,55,37,80,74,141,34,224,12,180,63,106,173,40,30,23,101,23,90,26
Sembuh,2021-02-10,21,317,254,95,15,253,3245,21,1059,1316,703,44,381,50,201,9,80,53,78,223,111,104,37,144,231,180,129,13,36,25,10,34,27,21
Meninggal,2021-02-10,,10,,,,7,43,,16,5,39,,23,1,,,,1,2,2,5,4,1,,4,8,3,1,2,,2,,12,
Terkonfirmasi,2021-02-11,17,371,40,160,11,261,2514,33,1059,986,1044,27,643,31,139,63,25,63,40,85,162,131,20,128,38,66,89,49,10,16,41,27,32,14
Sembuh,2021-02-11,5,422,74,98,20,256,4004,29,1127,751,818,26,794,106,99,24,34,12,40,186,46,113,269,213,83,130,45,16,13,16,16,60,138,62
Meninggal,2021-02-11,,12,,3,,3,51,,18,13,61,,9,2,3,3,,,2,5,2,2,1,1,6,6,3,1,,1,,1,5,
Terkonfirmasi,2021-02-12,8,312,147,114,17,278,3810,30,683,664,776,33,931,78,136,65,11,36,56,123,72,168,26,676,35,76,96,58,,35,66,39,185,29
Sembuh,2021-02-12,,317,13,151,15,174,5636,22,1582,153,1085,27,543,42,65,3,69,78,63,94,45,104,68,213,37,145,92,9,,23,18,45,60,9
Meninggal,2021-02-12,,8,,1,,8,50,1,5,21,120,,13,,3,3,,1,5,3,1,4,1,5,1,9,3,,,,1,1,6,1
Terkonfirmasi,2021-02-13,1,156,114,133,9,113,3018,33,1737,763,560,10,314,101,144,139,20,17,57,81,84,154,8,381,77,75,47,27,74,8,55,95,235,4
Sembuh,2021-02-13,3,226,35,119,3,370,4746,3,2483,557,666,23,491,100,151,50,7,58,74,78,53,105,51,467,142,213,104,5,13,36,7,102,351,27
Meninggal,2021-02-13,2,14,,1,,7,53,,2,109,45,,10,2,3,1,,,1,,1,,,11,5,5,2,,2,,,1,3,
Terkonfirmasi,2021-02-14,4,139,74,130,18,108,2496,34,882,478,516,19,330,36,97,79,33,13,66,77,56,126,15,354,57,89,67,22,33,24,15,7,252,19
Sembuh,2021-02-14,,227,12,74,10,247,3979,22,1694,48,666,16,500,104,63,116,17,75,124,86,79,107,7,261,107,97,86,10,96,15,11,113,157,11
Meninggal,2021-02-14,,8,1,,,8,43,,4,68,50,,17,,4,,,1,2,,2,4,2,13,3,1,1,,,7,,2,6,
Terkonfirmasi,2021-02-15,,274,179,138,5,135,1879,9,947,881,432,0,362,41,146,185,8,3,51,14,97,134,8,160,49,68,56,9,,27,17,14,115,19
Sembuh,2021-02-15,,328,80,122,15,140,2082,16,1265,226,724,,484,46,76,34,1,11,108,17,167,117,8,216,47,94,51,53,,7,12,12,223,10
Meninggal,2021-02-15,,9,,,,5,55,,5,26,51,,7,3,4,3,,,1,4,,5,,,2,1,2,,,,,,,1
Terkonfirmasi,2021-02-16,,274,351,54,17,167,1861,24,4032,1101,473,37,322,50,139,75,14,57,52,54,17,109,11,319,31,78,80,8,22,8,2,38,130,22
Sembuh,2021-02-16,,314,96,108,10,286,2096,7,2100,250,578,32,224,30,136,61,7,129,117,63,43,104,4,226,37,35,70,,106,,15,30,292,3
Meninggal,2021-02-16,,9,2,2,1,4,49,,14,66,55,,3,,3,2,,,1,2,,3,,4,,1,4,,,,,1,3,
Terkonfirmasi,2021-02-17,,374,334,116,9,227,1445,22,4124,869,580,26,452,32,151,60,13,61,55,71,4,128,14,116,44,75,22,22,5,48,8,73,103,4
Sembuh,2021-02-17,,235,43,57,10,244,2099,30,2703,200,597,21,414,62,108,157,0,62,59,145,16,111,29,215,34,44,108,,,7,,36,154,2
Meninggal,2021-02-17,,12,,2,,10,47,1,3,43,34,,9,,4,,1,,4,1,,5,,6,3,,3,,,,,1,3,
Terkonfirmasi,2021-02-18,32,306,86,127,5,255,373,55,4420,676,559,32,518,86,120,120,25,38,44,112,27,99,28,273,93,75,109,4,19,25,33,31,224,10
Sembuh,2021-02-18,5,348,274,133,10,118,2695,22,3249,389,648,34,492,102,54,258,108,15,86,107,128,151,38,221,115,352,60,29,30,29,8,39,188,11
Meninggal,2021-02-18,,8,1,1,,10,32,2,9,23,53,,11,7,2,1,,,5,,,4,1,,2,1,2,1,,1,,,2,2
Terkonfirmasi,2021-02-19,13,330,73,85,14,263,1920,10,3847,1206,572,26,718,99,180,60,11,58,50,90,56,127,17,221,46,71,69,1,27,14,143,17,133,47
Sembuh,2021-02-19,9,444,344,165,15,259,2364,26,2651,449,599,23,511,33,282,489,71,11,31,73,74,115,117,527,159,267,72,62,23,8,33,329,135,13
Meninggal,2021-02-19,,13,,1,,5,6,,25,31,43,,15,,1,2,2,,2,2,,5,,4,5,9,3,,1,,,2,6,
Terkonfirmasi,2021-02-20,8,202,73,132,19,201,2872,20,975,805,601,35,552,95,183,20,17,39,88,81,56,99,15,202,45,98,133,19,12,28,118,29,176,6
Sembuh,2021-02-20,18,469,324,99,15,129,2886,28,1528,456,589,16,811,88,250,91,26,18,57,110,154,118,35,396,432,62,171,20,59,130,12,56,170,12
Meninggal,2021-02-20,,7,2,1,,3,40,,5,18,36,1,18,1,2,,1,,1,2,,2,,6,,1,6,,1,2,1,2,4,1
Terkonfirmasi,2021-02-21,1,326,249,55,13,175,2720,21,1021,487,446,30,406,148,162,11,24,50,52,71,42,97,22,180,23,73,197,1,3,21,40,14,101,18
Sembuh,2021-02-21,,275,363,54,10,255,2681,24,1623,228,569,21,618,25,181,94,22,6,41,71,15,98,1,334,71,132,89,4,13,20,12,25,252,9
Meninggal,2021-02-21,,8,2,1,1,8,55,1,4,12,34,,12,,4,,4,,7,,,3,,,3,5,1,,,,3,1,3,1
Terkonfirmasi,2021-02-22,1,278,113,71,22,138,2466,20,3812,1047,434,,404,64,107,95,22,75,45,29,23,97,28,258,185,92,51,15,44,31,91,6,137,2
Sembuh,2021-02-22,5,328,223,79,5,227,2305,20,2832,1125,533,,503,46,126,68,21,3,143,26,95,105,27,204,146,179,93,49,,25,,26,334,17
Meninggal,2021-02-22,,6,,,,7,40,,16,41,45,,14,2,3,2,,,4,,2,5,,2,1,7,2,,,,,,3,
Terkonfirmasi,2021-02-23,29,288,251,41,42,228,782,26,4334,827,546,28,431,75,101,193,16,33,60,60,11,139,7,506,7,94,116,10,9,32,76,89,195,10
Sembuh,2021-02-23,7,309,159,43,10,239,1814,27,2049,649,511,43,541,89,110,17,1,60,156,54,36,107,45,270,171,126,59,55,11,19,17,56,122,14
Meninggal,2021-02-23,,10,1,1,,10,45,,23,142,45,,7,2,4,4,,1,5,1,,6,1,,2,2,3,1,,2,,,3,2
Terkonfirmasi,2021-02-24,26,307,41,236,16,201,782,56,2191,1262,580,27,423,62,133,8,15,20,57,87,15,122,10,388,25,68,110,12,14,52,40,10,95,2
Sembuh,2021-02-24,9,292,5,66,10,253,2443,49,1379,569,548,15,541,67,108,169,19,25,41,128,127,100,17,294,42,93,55,,19,34,19,49,142,8
Meninggal,2021-02-24,,7,,2,,6,51,,7,75,40,,14,2,3,,1,,2,,,1,,3,1,3,2,,,,,,20,
Terkonfirmasi,2021-02-25,10,263,263,45,11,228,1581,28,2546,820,556,32,394,52,179,47,8,44,75,83,18,153,16,423,67,68,133,5,30,33,51,7,202,22
Sembuh,2021-02-25,,292,92,286,,255,2320,42,1066,1237,621,27,712,71,216,48,75,107,45,62,26,107,60,327,181,130,63,,21,32,22,30,91,22
Meninggal,2021-02-25,1,7,,1,,3,40,1,73,64,34,,9,1,3,3,,1,1,1,1,4,1,3,1,2,2,,,1,,2,2,2
Terkonfirmasi,2021-02-26,8,330,237,70,20,174,1661,24,2314,653,541,39,485,112,186,12,19,65,39,97,66,130,10,339,85,68,69,6,24,37,160,17,116,19
Sembuh,2021-02-26,21,266,269,58,15,223,1785,52,868,1119,535,22,432,33,109,116,14,121,44,147,121,116,22,206,31,115,85,49,21,43,37,77,73,16
Meninggal,2021-02-26,,9,2,1,,4,43,,7,130,32,,7,1,2,1,,,1,,1,5,,4,4,4,4,,,,,1,4,1
Terkonfirmasi,2021-02-27,3,151,35,44,13,228,1737,83,876,630,445,27,378,97,187,185,11,32,60,81,42,119,14,249,47,82,49,1,28,33,93,6,140,2
Sembuh,2021-02-27,8,347,42,88,12,218,1174,68,651,2500,517,25,467,93,125,69,7,28,117,91,26,118,,238,63,35,56,,14,29,31,43,69,13
Meninggal,2021-02-27,1,6,1,1,,9,44,,5,66,24,,7,2,4,,,,1,,,3,,3,3,1,4,1,,,,,7,2
Terkonfirmasi,2021-02-28,7,239,46,47,6,170,2098,32,770,327,324,39,374,74,170,72,7,67,36,84,13,110,4,84,12,68,63,,,33,55,3,108,18
Sembuh,2021-02-28,,159,20,87,11,259,609,9,534,2732,463,27,465,64,115,17,4,70,153,51,18,106,,244,5,95,91,,,28,49,128,26,10
Meninggal,2021-02-28,,3,,,,4,42,,51,14,29,,5,2,2,2,1,3,6,1,,5,1,,2,7,2,,,1,,1,1,
Terkonfirmasi,2021-03-01,2,165,21,27,3,144,2058,1,1662,657,341,,437,73,206,112,13,50,56,22,19,138,11,141,74,73,55,5,,18,41,11,40,4
Sembuh,2021-03-01,16,232,50,53,10,274,3620,48,1692,893,457,0,501,56,128,53,20,23,105,30,65,100,2,224,34,70,75,12,,11,41,104,193,20
Meninggal,2021-03-01,,8,1,1,,4,45,1,4,14,30,,10,4,4,,1,1,4,3,3,1,,3,,6,2,,,,2,1,5,1
Terkonfirmasi,2021-03-02,14,167,97,26,13,150,578,45,1654,984,412,22,310,84,187,48,9,5,44,71,5,129,7,178,34,50,89,,37,29,81,32,117,4
Sembuh,2021-03-02,4,225,181,54,10,266,2068,13,2239,820,528,45,578,119,106,62,12,14,38,87,18,108,17,306,75,74,106,12,30,28,48,99,542,16
Meninggal,2021-03-02,,8,,,,4,43,1,49,7,32,,12,2,1,1,,,,3,,3,3,10,1,8,1,,,,1,,3,
Terkonfirmasi,2021-03-03,13,198,72,61,33,229,1436,9,1895,548,430,34,349,94,179,28,6,9,50,105,21,134,19,263,66,59,79,43,23,47,116,2,141,17
Sembuh,2021-03-03,6,222,27,83,14,160,2445,58,2233,1324,514,25,459,30,73,167,19,18,61,78,19,121,30,270,88,69,165,11,16,29,36,51,126,6
Meninggal,2021-03-03,3,8,,,,7,41,,49,22,33,,7,1,3,1,,,3,1,,4,,7,1,6,3,,,,,1,2,
Terkonfirmasi,2021-03-04,10,268,11,32,12,228,2009,44,1731,591,404,41,512,68,167,65,12,6,43,87,18,136,3,196,77,56,87,6,25,27,163,3,103,23
Sembuh,2021-03-04,2,256,16,36,10,280,1733,21,1217,708,498,21,412,70,90,71,17,3,46,103,11,116,6,314,53,59,70,9,11,37,48,43,46,7
Meninggal,2021-03-04,,17,,,,5,43,,45,13,26,,5,,4,,,1,1,1,,2,1,2,1,2,4,,,,,1,2,
Terkonfirmasi,2021-03-05,9,214,515,50,15,175,1159,7,1786,949,404,29,293,152,197,30,19,41,63,87,11,99,8,196,13,45,129,4,9,27,63,14,150,9
Sembuh,2021-03-05,4,252,120,81,10,95,1166,32,1698,291,476,30,514,82,223,64,17,1,46,126,16,128,23,263,10,79,99,13,16,14,33,50,240,17
Meninggal,2021-03-05,,6,,,,,45,1,7,11,19,,7,1,4,2,,1,1,1,1,4,2,7,1,4,1,,,,,,3,
Terkonfirmasi,2021-03-06,16,153,13,75,8,89,1616,17,1094,586,393,73,396,122,171,61,13,3,58,92,27,87,2,165,34,41,68,12,38,44,53,4,130,13
Sembuh,2021-03-06,18,219,719,85,10,249,1697,34,1325,47,463,26,474,164,181,35,18,26,98,88,8,90,24,310,4,69,87,19,53,29,27,89,30,10
Meninggal,2021-03-06,,5,13,1,,5,44,,1,1,20,,4,2,4,,,1,1,1,2,3,,4,,,4,,,,1,2,8,1
Terkonfirmasi,2021-03-07,4,147,12,37,10,149,1834,20,1366,395,328,67,351,118,196,29,13,16,65,60,32,78,5,190,38,48,134,10,2,15,5,7,43,2
Sembuh,2021-03-07,,216,11,56,10,105,1826,27,538,575,430,20,402,44,105,11,17,1,36,40,1,88,,152,16,51,100,,101,43,38,31,55,
Meninggal,2021-03-07,,2,1,3,2,4,45,1,2,1,18,,9,2,2,2,,,5,,,2,,1,1,,3,,,,2,1,2,1
Terkonfirmasi,2021-03-08,7,200,591,62,40,167,1783,6,1739,871,328,,142,70,160,40,17,2,65,8,1,94,9,79,26,53,64,17,15,12,89,3,134,
Sembuh,2021-03-08,4,235,342,49,11,161,1484,47,1909,2305,424,,394,50,219,42,3,1,78,24,47,97,25,188,136,79,71,,96,14,40,24,122,4
Meninggal,2021-03-08,,5,,1,1,6,48,,72,80,31,,6,4,4,1,1,1,1,1,,3,1,3,,2,2,1,1,1,,,4,
Terkonfirmasi,2021-03-09,26,256,100,49,8,176,867,20,1787,898,391,50,260,133,126,75,3,11,32,83,10,98,13,92,55,60,109,33,9,57,360,6,136,
Sembuh,2021-03-09,26,282,244,57,10,190,1655,36,977,1871,428,44,436,125,74,136,22,5,48,70,43,91,11,138,122,65,75,12,10,43,29,10,90,21
Meninggal,2021-03-09,,7,1,1,,2,45,1,50,44,30,,6,,4,,,,3,3,,6,,1,,,3,,,,1,,2,
Terkonfirmasi,2021-03-10,,254,138,22,9,178,1040,18,1570,304,399,43,296,94,112,34,14,25,63,101,23,90,5,220,39,58,107,35,3,30,181,,114,14
Sembuh,2021-03-10,4,227,45,16,10,141,827,15,1245,645,395,24,451,65,171,204,20,99,109,99,5,86,3,137,65,161,67,21,29,17,32,28,91,2
Meninggal,2021-03-10,,7,6,,,6,45,,24,27,28,,9,,2,,,,8,1,,,,2,2,3,2,,,,1,,2,
Terkonfirmasi,2021-03-11,19,156,49,54,11,128,1754,9,781,251,341,42,438,47,196,46,18,0,37,87,3,92,14,108,33,46,111,,9,37,153,8,66,0
Sembuh,2021-03-11,,144,85,17,15,295,903,15,4212,328,375,24,469,,105,99,9,6,32,82,17,93,21,213,62,22,50,3,4,19,425,8,15,3
Meninggal,2021-03-11,,4,,1,,1,25,,6,12,22,,9,,2,2,,,5,,,2,,2,,5,1,1,,,14,,2,1
Terkonfirmasi,2021-03-12,6,197,484,63,27,203,1873,29,1357,497,341,23,206,62,199,137,3,1,33,57,2,83,,133,47,42,58,1,10,28,55,4,128,23
Sembuh,2021-03-12,7,228,89,60,13,170,1060,23,2482,758,361,32,366,,73,352,13,,30,53,19,79,4,165,31,99,50,,7,41,30,71,58,27
Meninggal,2021-03-12,1,12,3,4,,,30,,43,25,23,,9,,3,,,1,,4,,4,,5,1,8,4,,,,,,,
Terkonfirmasi,2021-03-13,14,158,247,68,3,188,1034,21,925,192,346,84,264,97,197,2,4,20,43,68,24,91,2,89,12,43,66,12,,45,47,9,141,51
Sembuh,2021-03-13,,160,160,41,10,259,1826,46,1591,257,395,27,246,,170,43,5,12,42,118,14,86,,136,26,41,107,,,20,37,91,26,24
Meninggal,2021-03-13,,5,,1,,3,30,1,2,4,22,,2,,4,,1,,3,3,,2,1,3,,2,3,,,,,1,7,
Terkonfirmasi,2021-03-14,5,,315,86,20,90,1204,,1133,144,278,97,206,125,204,32,27,69,20,93,14,88,3,67,40,48,169,13,22,37,32,3,23,7
Sembuh,2021-03-14,28,,388,33,13,266,2012,31,946,107,299,49,363,,256,5,8,,33,59,14,90,,160,30,30,111,9,5,26,38,43,192,3
Meninggal,2021-03-14,,,6,,,4,36,,6,1,20,,6,,4,1,,,1,2,,3,,,,2,4,,1,,,,,
Terkonfirmasi,2021-03-15,,100,290,49,9,140,1555,5,1334,700,257,,205,125,175,45,4,42,57,22,4,102,3,54,30,47,69,20,4,8,45,3,83,3
Sembuh,2021-03-15,6,227,480,30,29,151,1792,19,1572,575,315,,381,67,232,35,3,10,40,27,45,92,1,120,55,37,98,18,5,29,30,7,296,6
Meninggal,2021-03-15,,8,30,2,,3,16,,20,11,24,,4,,4,,1,1,2,,,5,,3,2,6,1,2,1,,,,1,
Terkonfirmasi,2021-03-16,10,77,247,91,15,170,835,36,1617,560,291,82,244,83,191,37,2,1,55,55,,79,7,117,24,43,117,27,6,27,70,2,193,3
Sembuh,2021-03-16,21,220,366,52,15,213,1565,24,2121,1377,319,34,319,,174,40,21,,28,54,9,85,14,179,43,47,52,13,2,23,21,75,185,5
Meninggal,2021-03-16,,8,3,1,1,6,25,,35,30,28,,9,,4,3,,,4,3,,2,1,1,2,4,3,1,1,1,,,3,1
Terkonfirmasi,2021-03-17,6,227,861,50,35,270,1330,25,1347,647,321,79,240,153,158,69,37,34,45,135,9,88,12,139,25,41,82,9,4,43,65,3,220,16
Sembuh,2021-03-17,3,279,790,32,15,75,1124,10,4150,748,341,31,345,30,137,71,4,1,45,113,12,92,57,195,25,65,121,4,25,22,2,23,13,10
Meninggal,2021-03-17,,8,14,,,1,17,,36,29,26,,2,,4,1,1,,1,1,1,5,,2,1,2,1,,1,1,,,6,1
Terkonfirmasi,2021-03-18,10,306,293,59,8,257,1719,35,1261,658,339,51,328,75,118,29,8,67,39,105,10,87,5,146,24,37,108,9,14,37,126,1,167,34
Sembuh,2021-03-18,3,189,605,63,15,124,1168,32,1170,889,318,46,390,118,119,30,18,28,37,92,36,86,,226,52,61,55,8,19,40,30,17,46,155
Meninggal,2021-03-18,,8,8,4,1,6,23,,44,65,29,,11,,4,1,1,,2,,,1,,5,1,8,1,,,1,,,3,
Terkonfirmasi,2021-03-19,16,207,324,58,20,161,1588,32,1361,611,305,30,270,113,197,45,19,28,40,109,14,85,6,142,55,10,132,19,4,25,110,14,96,3
Sembuh,2021-03-19,,209,545,45,13,200,1173,15,957,855,299,58,284,64,176,43,4,16,36,80,6,98,1,203,59,59,211,1,68,29,19,31,138,12
Meninggal,2021-03-19,,9,3,1,,3,21,1,34,51,40,,5,,4,1,,,1,2,,2,,1,1,2,7,1,,,1,,6,
Terkonfirmasi,2021-03-20,15,130,233,165,10,242,1937,25,822,219,289,40,221,88,215,45,12,41,52,77,12,86,26,60,42,84,219,10,10,42,40,,160,17
Sembuh,2021-03-20,23,200,244,101,10,100,1190,21,1712,308,296,64,345,41,185,28,3,2,32,144,8,83,,244,88,30,114,6,11,41,,81,,5
Meninggal,2021-03-20,,6,11,1,,5,22,,7,2,26,,2,1,3,,,2,2,1,,3,,2,2,6,3,,,1,,,,
Terkonfirmasi,2021-03-21,,186,211,95,13,95,1638,22,517,102,292,39,218,201,228,21,5,33,54,87,4,53,17,49,21,58,49,,4,37,5,3,37,2
Sembuh,2021-03-21,,140,511,92,15,60,1884,13,1325,103,260,53,403,8,217,76,15,8,33,47,6,79,,303,88,30,112,,6,38,35,51,52,2
Meninggal,2021-03-21,,3,1,3,,4,11,,21,4,24,,8,,3,,,,1,2,,3,1,,3,7,,,,,2,,1,1
Terkonfirmasi,2021-03-22,20,174,440,84,3,143,1474,14,1253,741,270,,71,87,207,106,33,64,45,41,16,85,,53,84,36,74,7,4,15,20,2,76,2
Sembuh,2021-03-22,3,195,216,78,15,174,1714,31,1053,1739,291,,413,109,83,8,25,50,47,55,61,81,3,197,140,41,76,25,7,41,,71,119,16
Meninggal,2021-03-22,,4,3,3,,4,20,,48,16,27,,6,7,3,,1,1,1,,,2,,1,2,6,4,,,,,,2,
Terkonfirmasi,2021-03-23,15,182,298,44,35,205,815,19,1216,732,238,39,235,148,140,41,15,15,27,90,,97,2,65,70,37,167,3,21,24,59,,169,34
Sembuh,2021-03-23,8,137,592,86,15,220,1696,29,1394,1014,269,53,362,32,127,71,6,2,43,106,3,73,18,131,91,61,70,2,14,24,21,42,115,27
Meninggal,2021-03-23,1,12,11,1,,3,11,,41,18,28,,2,,3,2,,,3,2,,,,2,4,2,3,,,,,,5,
Terkonfirmasi,2021-03-24,13,189,258,68,24,254,890,24,1329,403,289,42,275,161,190,16,31,38,51,89,,91,3,77,33,51,125,7,26,15,66,1,98,
Sembuh,2021-03-24,,131,54,41,21,150,1746,10,2469,1171,236,69,341,70,251,52,1,5,32,69,13,74,,161,192,34,141,11,,30,12,5,28,2
Meninggal,2021-03-24,2,11,,,1,4,11,,7,23,21,,6,4,3,,1,,3,,,1,,,6,3,5,,,1,,2,1,2
Terkonfirmasi,2021-03-25,6,201,91,101,7,258,1726,48,1172,505,348,32,320,107,236,37,42,41,118,111,29,74,1,68,24,51,120,,33,22,116,1,54,7
Sembuh,2021-03-25,2,135,13,83,15,193,719,,1147,524,232,43,379,19,115,10,22,13,44,113,10,95,1,160,38,63,85,27,41,49,40,25,143,8
Meninggal,2021-03-25,3,6,1,2,,1,12,,12,13,22,,9,,3,1,,,1,,,,,2,1,1,7,1,,,,,,
Terkonfirmasi,2021-03-26,15,178,176,52,8,232,1381,15,855,262,340,54,252,95,215,48,17,17,89,115,17,79,6,32,34,43,169,9,6,18,89,,43,21
Sembuh,2021-03-26,16,152,498,93,15,140,615,10,1495,546,295,49,632,90,158,62,17,1,26,87,6,80,42,187,33,53,108,7,12,55,5,46,35,13
Meninggal,2021-03-26,,6,9,,1,8,11,3,1,2,25,,6,,3,1,2,,2,,,1,,,2,1,,,,,,,1,
